"unigram","bigram","freq"
"opportunity","to",131
"plenty","of",131
"the","bottom",131
"the","good",131
"told","the",131
"what","he",131
"where","he",131
"a","bad",130
"a","whole",130
"about","this",130
"for","them",130
"group","of",130
"may","not",130
"my","friend",130
"that","can",130
"version","of",130
"a","woman",129
"and","thats",129
"but","when",129
"me","know",129
"out","on",129
"them","and",129
"we","got",129
"which","was",129
"you","would",129
"and","an",128
"be","an",128
"be","there",128
"im","in",128
"is","your",128
"life","is",128
"that","have",128
"the","process",128
"the","sun",128
"well","i",128
"back","and",127
"but","in",127
"dont","get",127
"for","example",127
"its","just",127
"likely","to",127
"los","angeles",127
"made","me",127
"not","going",127
"on","friday",127
"the","government",127
"which","i",127
"with","some",127
"year","and",127
"a","game",126
"every","day",126
"how","the",126
"it","with",126
"needed","to",126
"piece","of",126
"she","had",126
"to","change",126
"a","second",125
"a","single",125
"because","he",125
"deal","with",125
"for","him",125
"hope","to",125
"i","couldnt",125
"it","seems",125
"long","as",125
"my","head",125
"out","that",125
"people","to",125
"the","family",125
"the","weekend",125
"to","run",125
"where","you",125
"would","love",125
"a","different",124
"and","had",124
"any","other",124
"did","i",124
"down","and",124
"his","first",124
"im","just",124
"that","if",124
"to","eat",124
"to","leave",124
"to","write",124
"your","life",124
"as","if",123
"happy","to",123
"in","some",123
"it","comes",123
"know","it",123
"more","of",123
"all","about",122
"do","a",122
"he","says",122
"home","and",122
"known","as",122
"set","up",122
"things","that",122
"willing","to",122
"a","place",121
"along","the",121
"among","the",121
"do","this",121
"have","some",121
"her","to",121
"here","and",121
"one","that",121
"san","francisco",121
"the","ground",121
"think","the",121
"you","so",121
"after","all",120
"didnt","know",120
"i","believe",120
"see","it",120
"the","number",120
"the","week",120
"would","you",120
"dont","like",119
"find","out",119
"it","does",119
"my","heart",119
"so","you",119
"the","beginning",119
"the","truth",119
"the","work",119
"was","one",119
"way","of",119
"at","me",118
"but","this",118
"easy","to",118
"good","to",118
"have","had",118
"is","good",118
"just","like",118
"many","people",118
"said","she",118
"the","real",118
"work","on",118
"a","friend",117
"about","what",117
"and","no",117
"and","of",117
"comes","to",117
"im","sure",117
"is","more",117
"long","time",117
"since","i",117
"the","bill",117
"the","film",117
"the","home",117
"the","states",117
"think","its",117
"thousands","of",117
"through","a",117
"up","at",117
"us","and",117
"a","large",116
"come","back",116
"in","love",116
"said","they",116
"the","university",116
"the","very",116
"these","are",116
"to","let",116
"within","the",116
"and","are",115
"and","your",115
"could","not",115
"go","back",115
"i","go",115
"i","look",115
"might","have",115
"that","im",115
"the","music",115
"thinking","about",115
"thought","i",115
"were","going",115
"while","i",115
"you","i",115
"become","a",114
"behind","the",114
"gonna","be",114
"make","me",114
"of","being",114
"on","an",114
"some","people",114
"sure","to",114
"time","of",114
"today","i",114
"we","could",114
"welcome","to",114
"are","still",113
"had","no",113
"have","not",113
"its","all",113
"just","the",113
"like","you",113
"my","friends",113
"only","a",113
"place","to",113
"so","it",113
"the","door",113
"the","federal",113
"the","main",113
"the","water",113
"these","days",113
"type","of",113
"we","should",113
"you","may",113
"you","the",113
"and","with",112
"are","all",112
"as","long",112
"here","are",112
"his","wife",112
"say","the",112
"see","a",112
"than","i",112
"the","law",112
"the","money",112
"the","morning",112
"the","name",112
"the","st",112
"to","ask",112
"to","check",112
"university","of",112
"was","on",112
"wont","be",112
"ability","to",111
"back","on",111
"dont","forget",111
"he","also",111
"its","like",111
"president","of",111
"the","original",111
"took","a",111
"we","just",111
"we","would",111
"what","was",111
"with","him",111
"a","wonderful",110
"get","back",110
"is","very",110
"it","could",110
"love","and",110
"of","how",110
"rt","i",110
"the","ball",110
"the","white",110
"think","it",110
"you","too",110
"a","free",109
"a","more",109
"and","were",109
"is","all",109
"is","there",109
"little","bit",109
"on","how",109
"that","in",109
"the","question",109
"the","street",109
"to","pick",109
"was","to",109
"watching","the",109
"you","love",109
"a","beautiful",108
"be","at",108
"be","more",108
"didnt","have",108
"half","of",108
"he","didnt",108
"is","for",108
"just","to",108
"over","a",108
"something","to",108
"sounds","like",108
"the","event",108
"the","field",108
"then","the",108
"to","them",108
"was","no",108
"will","do",108
"will","never",108
"yes","i",108
"but","a",107
"came","out",107
"coming","to",107
"during","a",107
"for","another",107
"he","can",107
"is","being",107
"look","forward",107
"on","monday",107
"there","will",107
"a","group",106
"about","you",106
"and","be",106
"been","in",106
"every","time",106
"family","and",106
"for","following",106
"i","might",106
"nice","to",106
"not","that",106
"they","do",106
"though","i",106
"today","is",106
"with","them",106
"you","might",106
"a","real",105
"day","in",105
"get","some",105
"he","could",105
"i","told",105
"i","took",105
"it","as",105
"list","of",105
"or","so",105
"state","of",105
"the","little",105
"to","spend",105
"year","old",105
"years","and",105
"youre","not",105
"at","work",104
"but","then",104
"do","we",104
"me","up",104
"no","idea",104
"see","how",104
"series","of",104
"social","media",104
"the","current",104
"the","front",104
"throughout","the",104
"were","a",104
"were","in",104
"you","had",104
"but","there",103
"focus","on",103
"good","for",103
"i","wonder",103
"is","always",103
"last","month",103
"pick","up",103
"the","following",103
"they","could",103
"thought","it",103
"to","and",103
"to","bed",103
"about","that",102
"also","a",102
"at","that",102
"get","out",102
"health","care",102
"i","wont",102
"idea","of",102
"in","for",102
"know","you",102
"me","for",102
"of","which",102
"on","its",102
"the","lord",102
"to","us",102
"use","of",102
"a","job",101
"and","on",101
"can","make",101
"come","on",101
"for","one",101
"great","day",101
"i","remember",101
"pay","for",101
"the","community",101
"the","movie",101
"the","problem",101
"we","want",101
"you","feel",101
"you","go",101
"but","she",100
"how","it",100
"members","of",100
"the","american",100
"the","center",100
"the","things",100
"with","no",100
"work","in",100
"and","just",99
"called","the",99
"create","a",99
"for","sure",99
"my","way",99
"plans","to",99
"see","if",99
"thats","not",99
"the","early",99
"with","our",99
"won","the",99
"and","said",98
"from","his",98
"get","in",98
"get","your",98
"how","you",98
"i","say",98
"in","addition",98
"not","even",98
"one","thing",98
"other","than",98
"pretty","much",98
"so","excited",98
"to","become",98
"to","build",98
"today","and",98
"too","many",98
"we","get",98
"work","for",98
"your","favorite",98
"come","out",97
"even","more",97
"follow","back",97
"i","find",97
"im","gonna",97
"in","other",97
"is","why",97
"its","own",97
"last","time",97
"me","on",97
