"unigram","bigram","trigram","freq"
"in","the","final",44
"it","was","just",44
"known","as","the",44
"of","course","i",44
"out","to","be",44
"people","in","the",44
"the","amount","of",44
"to","be","an",44
"with","all","the",44
"youre","going","to",44
"and","have","a",43
"be","on","the",43
"for","you","to",43
"forward","to","seeing",43
"have","no","idea",43
"have","to","get",43
"is","the","first",43
"looks","like","a",43
"shout","out","to",43
"some","of","my",43
"sounds","like","a",43
"that","i","dont",43
"that","i","had",43
"the","second","half",43
"the","story","of",43
"they","have","a",43
"to","focus","on",43
"to","get","my",43
"to","have","the",43
"to","see","a",43
"you","know","that",43
"a","few","more",42
"at","least","one",42
"day","of","the",42
"dont","know","if",42
"due","to","the",42
"feel","like","i",42
"for","the","most",42
"i","love","my",42
"it","is","to",42
"it","might","be",42
"just","have","to",42
"nothing","to","do",42
"of","the","week",42
"on","the","back",42
"on","the","floor",42
"people","who","are",42
"seem","to","be",42
"take","a","look",42
"that","there","are",42
"that","you","can",42
"to","me","and",42
"two","years","ago",42
"up","on","the",42
"a","look","at",41
"along","the","way",41
"along","with","the",41
"and","this","is",41
"at","the","beginning",41
"but","if","you",41
"can","be","a",41
"do","the","same",41
"hope","to","see",41
"i","dont","even",41
"i","go","to",41
"i","have","the",41
"me","and","i",41
"me","in","the",41
"more","and","more",41
"my","way","to",41
"should","be","a",41
"should","have","been",41
"so","much","more",41
"that","he","is",41
"the","other","side",41
"the","time","of",41
"the","use","of",41
"they","need","to",41
"to","be","done",41
"to","go","back",41
"to","see","it",41
"to","tell","you",41
"was","a","great",41
"would","be","the",41
"you","can","do",41
"and","i","just",40
"and","if","you",40
"and","will","be",40
"for","all","of",40
"for","the","new",40
"had","no","idea",40
"i","can","see",40
"i","dont","care",40
"i","had","the",40
"i","knew","i",40
"i","know","it",40
"if","i","had",40
"in","new","jersey",40
"in","the","car",40
"much","as","i",40
"on","how","to",40
"on","the","ground",40
"that","i","would",40
"that","will","be",40
"the","best","of",40
"the","chance","to",40
"they","have","to",40
"to","get","it",40
"two","of","the",40
"wait","for","the",40
"what","it","is",40
"when","you","are",40
"where","are","you",40
"you","are","not",40
"you","had","a",40
"you","will","be",40
"a","few","minutes",39
"a","handful","of",39
"a","picture","of",39
"a","time","when",39
"at","least","i",39
"cinco","de","mayo",39
"every","time","i",39
"first","time","in",39
"for","the","past",39
"hall","of","fame",39
"he","has","a",39
"i","didnt","have",39
"i","know","its",39
"i","know","you",39
"in","the","game",39
"in","this","case",39
"need","to","do",39
"on","to","the",39
"one","of","his",39
"that","is","a",39
"the","cost","of",39
"the","other","hand",39
"the","start","of",39
"the","state","of",39
"to","me","i",39
"to","win","a",39
"waiting","for","the",39
"you","dont","know",39
"you","have","any",39
"all","of","them",38
"and","all","the",38
"and","i","had",38
"and","that","the",38
"are","trying","to",38
"be","part","of",38
"did","you","know",38
"get","rid","of",38
"has","not","been",38
"i","guess","i",38
"i","know","what",38
"i","think","you",38
"i","tried","to",38
"in","the","way",38
"is","part","of",38
"it","was","not",38
"it","would","have",38
"of","the","state",38
"on","the","same",38
"ready","to","go",38
"that","we","have",38
"the","time","to",38
"this","was","a",38
"time","for","the",38
"to","all","of",38
"to","do","something",38
"want","to","make",38
"was","supposed","to",38
"welcome","to","the",38
"well","as","the",38
"will","be","able",38
"will","be","in",38
"a","bit","more",37
"a","few","hours",37
"a","good","time",37
"able","to","get",37
"and","i","are",37
"and","out","of",37
"because","they","are",37
"bottom","of","the",37
"but","i","do",37
"but","i","was",37
"come","to","the",37
"couple","of","weeks",37
"for","a","long",37
"for","me","i",37
"for","us","to",37
"has","been","the",37
"have","to","make",37
"i","could","have",37
"i","got","to",37
"i","love","that",37
"i","try","to",37
"if","there","is",37
"if","you","havent",37
"in","st","louis",37
"in","the","fourth",37
"in","the","th",37
"is","to","be",37
"it","should","be",37
"know","what","i",37
"less","than","a",37
"more","likely","to",37
"out","on","the",37
"really","want","to",37
"thanks","to","all",37
"the","majority","of",37
"time","in","the",37
"to","come","to",37
"to","do","is",37
"to","find","the",37
"to","see","how",37
"up","and","down",37
"we","had","to",37
"what","is","the",37
"who","wants","to",37
"you","can","get",37
"across","the","country",36
"all","of","my",36
"and","we","are",36
"come","back","to",36
"each","of","the",36
"even","though","i",36
"for","some","reason",36
"he","did","not",36
"here","is","the",36
"i","dont","get",36
"i","dont","see",36
"i","hope","to",36
"i","really","want",36
"i","think","im",36
"i","was","able",36
"if","you","need",36
"in","high","school",36
"in","the","fall",36
"is","about","to",36
"it","could","be",36
"it","was","so",36
"of","the","book",36
"she","was","a",36
"so","much","fun",36
"thank","you","to",36
"that","have","been",36
"that","i","could",36
"the","history","of",36
